id,date
4866,2011122106
2167,2011060719
5522,2012020714
6474,2012041518
3889,2011101113
3365,2011090305
564,2011021000
2171,2011060723
2348,2011061920
6116,2012032108
404,2011012920
5191,2012011407
4415,2011111711
5417,2012012917
1034,2011031614
438,2011020118
5067,2012010415
3331,2011083107
6099,2012032015
391,2011012907
4469,2011112217
6603,2012042515
887,2011030523
6797,2012050917
6047,2012031511
2591,2011070711
577,2011021201
576,2011021012
3550,2011091510
2607,2011070915
5254,2012011810
5533,2012020801
2793,2011072309
1544,2011042308
4180,2011110116
6482,2012041714
399,2011012915
5018,2012010102
2654,2011071302
5094,2012010706
745,2011022313
5619,2012021415
5212,2012011504
4543,2011112707
5033,2012010117
3992,2011101820
7178,2012060614
6434,2012041402
5914,2012030622
5047,2012010319
6374,2012040814
1538,2011042302
1114,2011032222
2162,2011060714
3585,2011091809
5767,2012022507
1346,2011040902
6225,2012032821
487,2011020507
1362,2011040918
2848,2011072704
69,2011010509
6131,2012032123
7245,2012061021
926,2011030902
2404,2011062504
2461,2011062901
2934,2011080218
1306,2011040522
2084,2011060108
129,2011010909
128,2011010908
759,2011022403
1078,2011031922
7156,2012060516
6353,2012040717
1463,2011041623
3867,2011100903
1837,2011051413
2129,2011060417
2936,2011080220
1677,2011050121
2194,2011060822
6009,2012031321
3752,2011100108
3791,2011100223
4490,2011112314
728,2011022220
5473,2012020401
5918,2012030702
5206,2012011422
1709,2011050417
4610,2011120302
1393,2011041213
2337,2011061909
787,2011022619
6984,2012052312
5471,2012020211
3707,2011092723
2723,2011071711
1635,2011043003
4327,2011111207
5210,2012011502
3921,2011101221
5007,2011123115
6327,2012040503
899,2011030611
161,2011011205
2533,2011070313
4745,2011121117
4399,2011111619
4996,2011123104
4484,2011112308
5873,2012030317
5938,2012030722
1294,2011040322
5394,2012012818
243,2011011815
3596,2011091820
4655,2011120423
5426,2012013114
1860,2011051512
4973,2011122817
2915,2011073111
4396,2011111616
5936,2012030720
3047,2011081011
6876,2012051600
6254,2012033114
6470,2012041514
6864,2012051400
3517,2011091401
302,2011012214
6622,2012042610
642,2011021606
6117,2012032109
3988,2011101816
5784,2012022600
1140,2011032400
4936,2011122516
3030,2011080918
4459,2011112019
5711,2012021923
875,2011030511
1660,2011050104
361,2011012613
4744,2011121116
6239,2012032911
2981,2011080605
1202,2011032914
2922,2011073118
6863,2012051323
2024,2011052808
6555,2012042203
4812,2011121712
7280,2012061320
6855,2012051315
2448,2011062700
7026,2012052618
6572,2012042220
3428,2011090708
1558,2011042322
1445,2011041605
3584,2011091808
5387,2012012811
1053,2011031709
4846,2011121822
5368,2012012604
5380,2012012804
7316,2012061620
4825,2011121801
7106,2012060202
6617,2012042605
6166,2012032422
1801,2011051113
1144,2011032404
3672,2011092500
4264,2011110616
1441,2011041601
4205,2011110217
1372,2011041004
4324,2011111204
4061,2011102305
5215,2012011507
3719,2011092811
188,2011011308
1684,2011050316
1285,2011040313
1993,2011052513
900,2011030612
6758,2012050614
1734,2011050706
6258,2012033118
2100,2011060200
1703,2011050411
1673,2011050117
3205,2011082113
2320,2011061816
3016,2011080716
821,2011030117
3045,2011081009
6875,2012051523
1062,2011031906
3187,2011082019
3900,2011101200
3337,2011083113
453,2011020209
3381,2011090321
4944,2011122600
3868,2011100904
3803,2011100423
2792,2011072308
1230,2011033018
3023,2011080723
5393,2012012817
6608,2012042520
5014,2011123122
3753,2011100109
7365,2012062009
5400,2012012900
6879,2012051603
3774,2011100206
3588,2011091812
4688,2011120720
780,2011022612
3310,2011082822
1072,2011031916
4726,2011121022
4674,2011120706
373,2011012701
5455,2012020119
1588,2011042616
1484,2011041720
868,2011030504
1398,2011041218
2029,2011052813
3493,2011091113
1117,2011032301
1554,2011042318
631,2011021519
7246,2012061022
5816,2012022820
3864,2011100900
5639,2012021511
4618,2011120310
4195,2011110207
765,2011022409
3471,2011091015
4226,2011110502
2623,2011071007
35,2011010211
6955,2012052019
2482,2011062922
5128,2012010816
